partition,horizon,precision,recall,threshold
val_calib,10,0.0657501494321578,1.0,3.0992319096296516e-12
val_calib,10,0.06578947368421052,1.0,3.1277692328495777e-12
val_calib,10,0.06582884500299221,1.0,3.1318360553477334e-12
val_calib,10,0.0658682634730539,1.0,3.141542831207973e-12
val_calib,10,0.0659077291791492,1.0,3.142748512622811e-12
val_calib,10,0.06594724220623502,1.0,3.302491266046587e-12
val_calib,10,0.06598680263947211,1.0,3.315571421551944e-12
val_calib,10,0.06602641056422569,1.0,3.3235571008713002e-12
val_calib,10,0.06606606606606606,1.0,3.3530476568691162e-12
val_calib,10,0.06610576923076923,1.0,3.374176371280624e-12
val_calib,10,0.0661455201443175,1.0,3.477710231106677e-12
val_calib,10,0.06618531889290012,1.0,3.5243784394628623e-12
val_calib,10,0.06622516556291391,1.0,3.5569282556616398e-12
val_calib,10,0.06626506024096386,1.0,3.5616335251422396e-12
val_calib,10,0.06630500301386377,1.0,3.5839255575376093e-12
val_calib,10,0.06634499396863691,1.0,3.6262974755534434e-12
val_calib,10,0.0663850331925166,1.0,3.680089352551329e-12
val_calib,10,0.06642512077294686,1.0,3.6926254888797975e-12
val_calib,10,0.06646525679758308,1.0,3.728122944000554e-12
val_calib,10,0.06650544135429262,1.0,3.7618595977394164e-12
val_calib,10,0.06654567453115548,1.0,3.7697338202483685e-12
val_calib,10,0.06658595641646489,1.0,3.77161801148871e-12
val_calib,10,0.06662628709872805,1.0,3.778761744480435e-12
val_calib,10,0.06666666666666667,1.0,3.7832269279976675e-12
val_calib,10,0.0667070952092177,1.0,3.785283688149939e-12
val_calib,10,0.06674757281553398,1.0,3.799313443528768e-12
val_calib,10,0.06678809957498483,1.0,3.812646990683174e-12
val_calib,10,0.06682867557715674,1.0,3.843836516547284e-12
val_calib,10,0.0668693009118541,1.0,3.89299691132244e-12
val_calib,10,0.06690997566909976,1.0,3.948441921399874e-12
val_calib,10,0.06695069993913573,1.0,3.949311210789596e-12
val_calib,10,0.06699147381242387,1.0,3.9961830391686484e-12
val_calib,10,0.06703229737964655,1.0,3.99800236582729e-12
val_calib,10,0.06707317073170732,1.0,4.045382257980054e-12
val_calib,10,0.06711409395973154,1.0,4.085613655715831e-12
val_calib,10,0.06715506715506715,1.0,4.119764884388218e-12
val_calib,10,0.06719609040928527,1.0,4.15517743302129e-12
val_calib,10,0.06723716381418093,1.0,4.1878961894585744e-12
val_calib,10,0.0672782874617737,1.0,4.194220834994025e-12
val_calib,10,0.06731946144430845,1.0,4.241157636189612e-12
val_calib,10,0.06736068585425597,1.0,4.250699147225184e-12
val_calib,10,0.06740196078431372,1.0,4.259769281291042e-12
