family,candidate_id,reference_type,cutoff,engine_id,n_segments,n_runs,healthy_start_runs,middle_start_runs,near_failure_start_runs,max_run_length,has_run_ge_2,has_run_ge_3,has_run_ge_5,has_run_ge_10
lof,lof_k50,pooled,0.99,45,1,12,0,12,0,33,True,True,True,True
lof,lof_k50,pooled,0.99,46,1,7,2,4,1,30,True,True,True,True
lof,lof_k50,pooled,0.99,54,1,8,0,8,0,73,True,True,True,True
lof,lof_k50,pooled,0.99,74,1,5,0,1,4,22,True,True,True,True
lof,lof_k50,pooled,0.99,77,1,13,1,10,2,28,True,True,True,True
lof,lof_k50,pooled,0.99,78,1,8,1,7,0,37,True,True,True,True
lof,lof_k50,pooled,0.99,81,1,10,2,8,0,38,True,True,True,True
lof,lof_k50,pooled,0.99,89,1,5,1,3,1,24,True,True,True,True
lof,lof_k50,pooled,0.99,91,1,6,1,5,0,39,True,True,True,True
lof,lof_k50,engine_balanced,0.9,1,1,23,9,13,1,31,True,True,True,True
lof,lof_k50,engine_balanced,0.9,5,1,28,18,10,0,95,True,True,True,True
lof,lof_k50,engine_balanced,0.9,10,1,13,6,7,0,43,True,True,True,True
lof,lof_k50,engine_balanced,0.9,11,1,15,5,10,0,73,True,True,True,True
lof,lof_k50,engine_balanced,0.9,13,1,11,2,9,0,55,True,True,True,True
lof,lof_k50,engine_balanced,0.9,16,1,24,13,11,0,82,True,True,True,True
lof,lof_k50,engine_balanced,0.9,27,1,12,2,10,0,55,True,True,True,True
lof,lof_k50,engine_balanced,0.9,31,1,19,7,12,0,39,True,True,True,True
lof,lof_k50,engine_balanced,0.9,34,1,17,8,9,0,76,True,True,True,True
lof,lof_k50,engine_balanced,0.9,40,1,17,7,10,0,75,True,True,True,True
lof,lof_k50,engine_balanced,0.9,41,1,22,10,12,0,73,True,True,True,True
lof,lof_k50,engine_balanced,0.9,45,1,19,4,15,0,56,True,True,True,True
lof,lof_k50,engine_balanced,0.9,46,1,23,12,11,0,33,True,True,True,True
lof,lof_k50,engine_balanced,0.9,54,1,17,10,7,0,85,True,True,True,True
lof,lof_k50,engine_balanced,0.9,74,1,15,3,11,1,31,True,True,True,True
lof,lof_k50,engine_balanced,0.9,77,1,15,3,12,0,35,True,True,True,True
lof,lof_k50,engine_balanced,0.9,78,1,17,10,7,0,39,True,True,True,True
lof,lof_k50,engine_balanced,0.9,81,1,24,11,13,0,57,True,True,True,True
lof,lof_k50,engine_balanced,0.9,89,1,27,16,11,0,38,True,True,True,True
lof,lof_k50,engine_balanced,0.9,91,1,16,1,15,0,45,True,True,True,True
lof,lof_k50,engine_balanced,0.95,1,1,10,3,6,1,31,True,True,True,True
lof,lof_k50,engine_balanced,0.95,5,1,15,7,8,0,95,True,True,True,True
lof,lof_k50,engine_balanced,0.95,10,1,12,4,8,0,43,True,True,True,True
lof,lof_k50,engine_balanced,0.95,11,1,10,2,8,0,60,True,True,True,True
lof,lof_k50,engine_balanced,0.95,13,1,7,1,6,0,55,True,True,True,True
lof,lof_k50,engine_balanced,0.95,16,1,22,7,15,0,54,True,True,True,True
lof,lof_k50,engine_balanced,0.95,27,1,9,1,8,0,52,True,True,True,True
lof,lof_k50,engine_balanced,0.95,31,1,12,5,7,0,37,True,True,True,True
lof,lof_k50,engine_balanced,0.95,34,1,10,3,7,0,57,True,True,True,True
lof,lof_k50,engine_balanced,0.95,40,1,14,2,12,0,65,True,True,True,True
lof,lof_k50,engine_balanced,0.95,41,1,14,5,9,0,73,True,True,True,True
lof,lof_k50,engine_balanced,0.95,45,1,15,1,14,0,43,True,True,True,True
lof,lof_k50,engine_balanced,0.95,46,1,13,4,8,1,30,True,True,True,True
lof,lof_k50,engine_balanced,0.95,54,1,12,3,9,0,78,True,True,True,True
lof,lof_k50,engine_balanced,0.95,74,1,9,0,6,3,22,True,True,True,True
lof,lof_k50,engine_balanced,0.95,77,1,12,1,10,1,31,True,True,True,True
lof,lof_k50,engine_balanced,0.95,78,1,15,5,10,0,37,True,True,True,True
lof,lof_k50,engine_balanced,0.95,81,1,17,5,12,0,52,True,True,True,True
lof,lof_k50,engine_balanced,0.95,89,1,14,8,6,0,37,True,True,True,True
lof,lof_k50,engine_balanced,0.95,91,1,10,1,9,0,45,True,True,True,True
lof,lof_k50,engine_balanced,0.975,1,1,7,2,4,1,31,True,True,True,True
lof,lof_k50,engine_balanced,0.975,5,1,14,4,10,0,90,True,True,True,True
lof,lof_k50,engine_balanced,0.975,10,1,8,0,8,0,43,True,True,True,True
lof,lof_k50,engine_balanced,0.975,11,1,7,2,5,0,60,True,True,True,True
lof,lof_k50,engine_balanced,0.975,13,1,7,1,6,0,50,True,True,True,True
lof,lof_k50,engine_balanced,0.975,16,1,19,6,13,0,54,True,True,True,True
lof,lof_k50,engine_balanced,0.975,27,1,9,0,9,0,48,True,True,True,True
lof,lof_k50,engine_balanced,0.975,31,1,9,4,5,0,37,True,True,True,True
