replicate_id,n_engine_draws,n_unique_engines_in_draw,mean_total_cost,miss_rate,mean_miss_component,mean_late_component,mean_early_component,mean_raw_late_delay,mean_raw_early_burden,mean_lead_time_alerted,median_lead_time_alerted,healthy_first_trigger_fraction
642,10,6,0.7633333333333334,0.0,0.0,0.0,0.7633333333333334,0.0,37.3,67.3,71.0,0.0
643,10,6,0.7100000000000001,0.0,0.0,0.0,0.7100000000000001,0.0,27.4,57.4,56.0,0.0
644,10,6,0.8666666666666668,0.0,0.0,0.0,0.8666666666666668,0.0,39.3,69.3,63.5,0.0
645,10,7,0.7833333333333333,0.0,0.0,0.0,0.7833333333333333,0.0,36.8,66.8,63.5,0.0
646,10,7,0.6566666666666666,0.0,0.0,0.0,0.6566666666666666,0.0,28.7,58.7,55.5,0.0
647,10,7,0.8166666666666668,0.0,0.0,0.0,0.8166666666666668,0.0,34.8,64.8,56.0,0.0
648,10,7,0.71,0.0,0.0,0.0,0.71,0.0,34.5,64.5,63.5,0.0
649,10,7,0.5966666666666667,0.0,0.0,0.0,0.5966666666666667,0.0,20.9,50.9,54.0,0.0
650,10,7,0.8800000000000001,0.0,0.0,0.0,0.8800000000000001,0.0,40.8,70.8,71.0,0.0
651,10,7,0.5333333333333334,0.0,0.0,0.0,0.5333333333333334,0.0,20.2,50.2,47.0,0.0
652,10,6,0.71,0.0,0.0,0.0,0.71,0.0,29.5,59.5,56.0,0.0
653,10,6,0.55,0.0,0.0,0.0,0.55,0.0,21.7,51.7,46.5,0.0
654,10,6,0.79,0.0,0.0,0.0,0.79,0.0,26.8,56.8,55.5,0.0
655,10,6,0.5533333333333333,0.0,0.0,0.0,0.5533333333333333,0.0,17.7,47.7,53.0,0.0
656,10,5,0.7666666666666666,0.0,0.0,0.0,0.7666666666666666,0.0,32.3,62.3,55.0,0.0
657,10,7,0.5733333333333334,0.0,0.0,0.0,0.5733333333333334,0.0,21.4,51.4,53.0,0.0
658,10,8,0.6833333333333333,0.0,0.0,0.0,0.6833333333333333,0.0,27.7,57.7,55.0,0.0
659,10,6,0.6933333333333332,0.0,0.0,0.0,0.6933333333333332,0.0,32.8,62.8,55.0,0.0
660,10,6,0.4833333333333334,0.0,0.0,0.0,0.4833333333333334,0.0,18.6,48.6,46.5,0.0
661,10,6,0.6933333333333332,0.0,0.0,0.0,0.6933333333333332,0.0,27.9,57.9,55.5,0.0
662,10,7,0.8066666666666666,0.0,0.0,0.0,0.8066666666666666,0.0,30.3,60.3,56.0,0.0
663,10,6,0.8400000000000001,0.0,0.0,0.0,0.8400000000000001,0.0,39.5,69.5,71.0,0.0
664,10,7,0.5533333333333333,0.0,0.0,0.0,0.5533333333333333,0.0,19.7,49.7,53.0,0.0
665,10,8,0.74,0.0,0.0,0.0,0.74,0.0,29.4,59.4,55.5,0.0
