horizon,draw,metric,value
10,115,f1,0.8118081180811808
10,116,PR_AUC,0.9517939586488076
10,116,Brier,0.009688774210061707
10,116,precision,0.7171052631578947
10,116,recall,0.990909090909091
10,116,f1,0.8320610687022901
10,117,PR_AUC,0.9682002356286161
10,117,Brier,0.007745272655983775
10,117,precision,0.7171052631578947
10,117,recall,0.990909090909091
10,117,f1,0.8320610687022901
10,118,PR_AUC,0.9746618460467602
10,118,Brier,0.007421925206021566
10,118,precision,0.7051282051282052
10,118,recall,1.0
10,118,f1,0.8270676691729323
10,119,PR_AUC,0.9705082555153203
10,119,Brier,0.008077472929462199
10,119,precision,0.7941176470588235
10,119,recall,0.9818181818181818
10,119,f1,0.8780487804878049
10,120,PR_AUC,0.9534681505383179
10,120,Brier,0.010094702096987701
10,120,precision,0.7448275862068966
10,120,recall,0.9818181818181818
10,120,f1,0.8470588235294118
10,121,PR_AUC,0.9587488163582181
10,121,Brier,0.008972657914325142
10,121,precision,0.7379310344827587
10,121,recall,0.9727272727272728
10,121,f1,0.8392156862745098
10,122,PR_AUC,0.9678641779155199
10,122,Brier,0.007706117500023551
10,122,precision,0.7189542483660131
10,122,recall,1.0
10,122,f1,0.8365019011406845
10,123,PR_AUC,0.949940021766582
10,123,Brier,0.010300478039525962
10,123,precision,0.6728395061728395
10,123,recall,0.990909090909091
10,123,f1,0.8014705882352942
10,124,PR_AUC,0.9688335817052582
10,124,Brier,0.009239049994940657
10,124,precision,0.7552447552447552
10,124,recall,0.9818181818181818
10,124,f1,0.8537549407114624
10,125,PR_AUC,0.9677335372505517
10,125,Brier,0.00809384060317517
10,125,precision,0.6728395061728395
10,125,recall,0.990909090909091
10,125,f1,0.8014705882352942
10,126,PR_AUC,0.9706672140054786
10,126,Brier,0.006985794235381826
10,126,precision,0.7006369426751592
10,126,recall,1.0
10,126,f1,0.8239700374531835
10,127,PR_AUC,0.9640866371989288
10,127,Brier,0.007790796487461481
10,127,precision,0.6707317073170732
10,127,recall,1.0
10,127,f1,0.8029197080291971
10,128,PR_AUC,0.9636345079660372
10,128,Brier,0.008600480869177857
10,128,precision,0.7124183006535948
10,128,recall,0.990909090909091
10,128,f1,0.8288973384030418
10,129,PR_AUC,0.952818623531125
10,129,Brier,0.01103722739721009
10,129,precision,0.675
10,129,recall,0.9818181818181818
10,129,f1,0.8
10,130,PR_AUC,0.9896640860540421
10,130,Brier,0.004572025716316881
10,130,precision,0.7482993197278912
10,130,recall,1.0
10,130,f1,0.8560311284046692
10,131,PR_AUC,0.9574582514668704
10,131,Brier,0.00864995089887847
10,131,precision,0.7171052631578947
10,131,recall,0.990909090909091
10,131,f1,0.8320610687022901
10,132,PR_AUC,0.9764296053694518
10,132,Brier,0.008402990180283714
10,132,precision,0.8029197080291971
10,132,recall,1.0
10,132,f1,0.8906882591093117
10,133,PR_AUC,0.9596014462559688
10,133,Brier,0.009063027709680113
10,133,precision,0.6918238993710691
10,133,recall,1.0
10,133,f1,0.8178438661710037
10,134,PR_AUC,0.9807008835547577
10,134,Brier,0.007180699349460816
10,134,precision,0.7841726618705036
10,134,recall,0.990909090909091
10,134,f1,0.8755020080321285
10,135,PR_AUC,0.9805768830748403
10,135,Brier,0.007828414447160571
10,135,precision,0.7746478873239436
10,135,recall,1.0
10,135,f1,0.873015873015873
10,136,PR_AUC,0.9697192016500382
10,136,Brier,0.007078896235178054
10,136,precision,0.6470588235294118
10,136,recall,1.0
10,136,f1,0.7857142857142857
10,137,PR_AUC,0.9528185415957654
10,137,Brier,0.009687308438810329
10,137,precision,0.6666666666666666
10,137,recall,1.0
10,137,f1,0.8
10,138,PR_AUC,0.9641422960937971
10,138,Brier,0.008079270282038909
10,138,precision,0.6728395061728395
10,138,recall,0.990909090909091
10,138,f1,0.8014705882352942
10,139,PR_AUC,0.9727286090467717
