horizon,model,representation,window,include_settings,class_weight,C,n_features,train_positive_rate,tune_positive_rate,tune_PR_AUC,tune_Brier,fit_time_seconds,inference_us_per_row
30,logistic,window,5.0,False,none,0.1,121,0.1495829599503688,0.15129331381161543,0.9648392692734008,0.023506929759704514,0.1447644100007892,0.5652371891154379
30,logistic,window,5.0,False,none,1.0,121,0.1495829599503688,0.15129331381161543,0.9673458488679023,0.02246168674734413,0.31764891400052875,0.2838423620687758
30,logistic,window,5.0,False,none,10.0,121,0.1495829599503688,0.15129331381161543,0.9680159570609594,0.022206407486982684,1.0961866150009882,0.66648438264829
30,logistic,window,5.0,False,balanced,0.1,121,0.1495829599503688,0.15129331381161543,0.9664806288959203,0.08559232308849708,0.07179746899964812,0.5234033677186894
30,logistic,window,5.0,False,balanced,1.0,121,0.1495829599503688,0.15129331381161543,0.9680431349832832,0.045554251775739185,0.07177397099985683,0.43198682296412766
30,logistic,window,5.0,False,balanced,10.0,121,0.1495829599503688,0.15129331381161543,0.9680906615064143,0.03691879686832552,0.07593801099937991,1.3420346510956103
30,logistic,window,5.0,True,none,0.1,123,0.1495829599503688,0.15129331381161543,0.9645514670922665,0.023637821074555178,0.2153273870007979,0.3621566617880878
30,logistic,window,5.0,True,none,1.0,123,0.1495829599503688,0.15129331381161543,0.9671778919288216,0.0225693570624874,0.3117218639999919,0.581128355488363
30,logistic,window,5.0,True,none,10.0,123,0.1495829599503688,0.15129331381161543,0.9678306095307128,0.022272860742369314,0.9496626780000952,0.3157645190830523
30,logistic,window,5.0,True,balanced,0.1,123,0.1495829599503688,0.15129331381161543,0.9664640271441889,0.08559246605935146,0.08562524400076654,0.4066117618783168
30,logistic,window,5.0,True,balanced,1.0,123,0.1495829599503688,0.15129331381161543,0.9679655077111218,0.045561279530122165,0.06765291599913326,0.3648116153107752
30,logistic,window,5.0,True,balanced,10.0,123,0.1495829599503688,0.15129331381161543,0.9678510220271523,0.03695472618313305,0.2700114870003745,0.48891874067517715
30,logistic,window,15.0,False,none,0.1,121,0.1495829599503688,0.15129331381161543,0.9757862963131161,0.01936327567218447,0.2051147830006812,0.5793701806087777
30,logistic,window,15.0,False,none,1.0,121,0.1495829599503688,0.15129331381161543,0.9767766323161347,0.019027308511666785,0.35003048299950024,0.5629843827237031
