draw_id,n_sampled_engines,n_unique_engines,mean_total_cost,miss_rate,mean_miss_component,mean_late_component,mean_early_component,mean_lead_time_if_alerted,median_lead_time_if_alerted,healthy_first_trigger_fraction
873,10,5,0.49333333333333335,0.0,0.0,0.0,0.49333333333333335,44.8,46.0,0.0
874,10,7,0.65,0.0,0.0,0.13333333333333333,0.5166666666666667,47.3,45.5,0.0
875,10,6,0.39999999999999997,0.0,0.0,0.0,0.39999999999999997,43.3,39.5,0.0
876,10,8,0.4333333333333333,0.0,0.0,0.13333333333333333,0.29999999999999993,38.2,39.5,0.0
877,10,6,0.5466666666666666,0.0,0.0,0.13333333333333333,0.4133333333333333,41.6,44.0,0.0
878,10,7,0.3733333333333333,0.0,0.0,0.0,0.3733333333333333,42.5,41.5,0.0
879,10,7,0.4533333333333333,0.0,0.0,0.0,0.4533333333333333,43.6,44.5,0.0
880,10,6,0.38666666666666666,0.0,0.0,0.0,0.38666666666666666,42.9,38.0,0.0
881,10,7,0.6433333333333333,0.0,0.0,0.26666666666666666,0.37666666666666665,39.7,44.0,0.0
882,10,7,0.38999999999999996,0.0,0.0,0.0,0.38999999999999996,43.0,39.0,0.0
883,10,6,0.7533333333333332,0.0,0.0,0.4,0.35333333333333333,40.8,38.0,0.0
884,10,5,0.32999999999999996,0.0,0.0,0.0,0.32999999999999996,39.9,41.5,0.0
885,10,5,0.4333333333333333,0.0,0.0,0.0,0.4333333333333333,44.3,44.5,0.0
886,10,6,0.6133333333333334,0.0,0.0,0.26666666666666666,0.3466666666666667,38.8,42.0,0.0
887,10,5,0.44000000000000006,0.0,0.0,0.0,0.44000000000000006,44.5,44.5,0.0
888,10,9,0.5833333333333334,0.0,0.0,0.13333333333333333,0.45,44.0,44.5,0.0
889,10,8,0.58,0.0,0.0,0.13333333333333333,0.44666666666666666,43.9,44.5,0.0
890,10,6,0.5033333333333333,0.0,0.0,0.13333333333333333,0.37,40.3,42.0,0.0
891,10,8,0.4333333333333334,0.0,0.0,0.0,0.4333333333333334,44.3,43.0,0.0
892,10,7,0.5066666666666666,0.0,0.0,0.13333333333333333,0.37333333333333324,40.4,42.0,0.0
893,10,7,0.5933333333333334,0.0,0.0,0.26666666666666666,0.3266666666666666,38.2,42.0,0.0
894,10,5,0.9,0.0,0.0,0.4,0.5,47.8,44.0,0.0
895,10,8,0.4966666666666667,0.0,0.0,0.13333333333333333,0.36333333333333334,40.1,42.0,0.0
896,10,6,0.38,0.0,0.0,0.0,0.38,41.4,42.0,0.0
897,10,6,0.32333333333333336,0.0,0.0,0.0,0.32333333333333336,39.7,38.0,0.0
898,10,7,0.5866666666666666,0.0,0.0,0.26666666666666666,0.31999999999999995,39.3,39.5,0.0
899,10,7,0.6799999999999999,0.0,0.0,0.13333333333333333,0.5466666666666666,49.5,47.0,0.0
